pricing_group,tier,storefront_alpha2,asc_territory_alpha3,storefront_name,currency,plan,proposed_price,product_id,product_type,subscription_group,period,intro_trial_days,selected_asc_price,asc_price_point_id,status,source
us,T1,US,USA,United States,USD,monthly,3.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
us,T1,US,USA,United States,USD,yearly,24.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
us,T1,US,USA,United States,USD,lifetime,59.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
uk,T1,GB,GBR,United Kingdom,GBP,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
uk,T1,GB,GBR,United Kingdom,GBP,yearly,17.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
uk,T1,GB,GBR,United Kingdom,GBP,lifetime,43.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,DE,DEU,Germany,EUR,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,DE,DEU,Germany,EUR,yearly,20.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,DE,DEU,Germany,EUR,lifetime,50.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,FR,FRA,France,EUR,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,FR,FRA,France,EUR,yearly,20.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,FR,FRA,France,EUR,lifetime,50.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,NL,NLD,Netherlands,EUR,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,NL,NLD,Netherlands,EUR,yearly,20.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,NL,NLD,Netherlands,EUR,lifetime,50.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,BE,BEL,Belgium,EUR,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,BE,BEL,Belgium,EUR,yearly,20.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,BE,BEL,Belgium,EUR,lifetime,50.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,AT,AUT,Austria,EUR,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,AT,AUT,Austria,EUR,yearly,20.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,AT,AUT,Austria,EUR,lifetime,50.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,IE,IRL,Ireland,EUR,monthly,2.99,com.semihtakilan.BookTrace.pro.monthly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1M,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,IE,IRL,Ireland,EUR,yearly,20.99,com.semihtakilan.BookTrace.pro.yearly,AUTO_RENEWABLE_SUBSCRIPTION,BookTracePro,P1Y,7,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
euro_core,T1,IE,IRL,Ireland,EUR,lifetime,50.99,com.semihtakilan.BookTrace.pro.lifetime,NON_CONSUMABLE,,,0,,,PENDING_ASC_PRICE_POINT_VALIDATION,Pricing.md section 3; 2026-09-07
